nim,nama,password,email,status_akun,tanggal_daftar
G1A023057,Nadia Sari,Nadias15#Q,nadiasari@gmail.com,ditunda,2023-01-16 19:50:49
G1A023058,Citra Hidayat,Citrah36@X,citrahidayat@gmail.com,aktif,2023-08-06 18:29:33
G1A023059,Citra Putra,Citrap89@z,citraputra@gmail.com,ditunda,2023-03-11 02:14:51
G1A023060,Citra Putra,Citrap13@Q,citraputra1@gmail.com,ditunda,2023-06-10 05:26:41
G1A023061,Sinta Ananda,Sintaa41#z,sintaananda1@gmail.com,ditunda,2023-02-12 07:31:27
G1A023062,Maya Saputra,Mayasa70@z,mayasaputra@gmail.com,ditunda,2023-06-29 02:20:13
G1A023063,Lia Susanto,Liasus39@X,liasusanto@gmail.com,aktif,2023-06-05 01:58:19
G1A023064,Kirana Hernanda,Kirana18#Q,kiranahernanda@gmail.com,aktif,2023-06-05 13:16:21
G1A023065,Wulan Nur,Wulann52!X,wulannur@gmail.com,ditunda,2023-04-12 18:42:07
G1A023066,Fajar Fadilah,Fajarf43!X,fajarfadilah@gmail.com,aktif,2023-05-15 14:02:14
G1A023067,Zara Prasetyo,Zarapr65!9,zaraprasetyo@gmail.com,ditunda,2023-03-16 03:39:45
G1A023068,Indra Saputra,Indras65!z,indrasaputra@gmail.com,aktif,2023-01-28 12:12:11
G1A023069,Wulan Prasetyo,Wulanp89#X,wulanprasetyo@gmail.com,aktif,2023-04-27 23:12:23
G1A023070,Raihan Susanto,Raihan95$Q,raihansusanto@gmail.com,aktif,2023-04-26 03:42:22
G1A023071,Salsa Sari,Salsas34$9,salsasari@gmail.com,aktif,2023-03-09 22:03:08
G1A023072,Umi Fadilah,Umifad48$X,umifadilah@gmail.com,aktif,2023-03-23 23:02:40
G1A023073,Nadia Fadilah,Nadiaf87#9,nadiafadilah@gmail.com,aktif,2023-09-20 17:18:08
G1A023074,Rahma Hidayati Fitrah,Rahmah37$z,rahmahidayatifitrah@gmail.com,aktif,2023-04-21 13:04:51
G1A023075,Raihan Ananda,Raihan91#X,raihanananda@gmail.com,ditunda,2023-10-20 01:06:53
G1A023076,Hana Ananda,Hanaan49@z,hanaananda@gmail.com,aktif,2023-01-19 06:44:35
G1A023077,Hana Fauzi,Hanafa88!9,hanafauzi@gmail.com,aktif,2023-09-02 21:50:19
G1A023078,Tika Aulia,Tikaau99$9,tikaaulia@gmail.com,aktif,2023-02-27 15:27:52
G1A023079,Vina Febriyanti,Vinafe10!9,vinafebriyanti@gmail.com,aktif,2023-09-28 14:22:04
G1A023080,Raihan Kurniawan,Raihan16@X,raihankurniawan@gmail.com,aktif,2023-06-30 18:47:19
G1A023081,Wulan Amelia,Wulana81#9,wulanamelia@gmail.com,aktif,2023-10-07 16:07:09
G1A023082,Citra Amelia,Citraa64$z,citraamelia@gmail.com,aktif,2023-07-04 16:17:11
G1A023083,Okti Hernanda,Oktihe41#9,oktihernanda@gmail.com,aktif,2023-04-17 23:26:01
G1A023084,Okti Wijaya,Oktiwi46@Q,oktiwijaya@gmail.com,aktif,2023-07-30 02:35:01
G1A023085,Cahya Sari,Cahyas29@9,cahyasari@gmail.com,aktif,2023-10-02 16:18:13
G1A023086,Gita Wijaya,Gitawi63$Q,gitawijaya@gmail.com,aktif,2023-06-11 19:17:48
G1A023087,Bayu Aulia,Bayuau63$X,bayuaulia@gmail.com,ditunda,2023-08-12 21:49:22
G1A023088,Maya Fauzi,Mayafa10#Q,mayafauzi@gmail.com,ditunda,2023-06-13 01:33:41
G1A023089,Salsa Mahendra,Salsam79@9,salsamahendra@gmail.com,aktif,2023-06-19 14:17:08
G1A023090,Putri Pratama,Putrip59#9,putripratama@gmail.com,aktif,2023-07-01 20:23:30
G1A023091,Della Sari,Dellas89!9,dellasari@gmail.com,aktif,2023-09-15 19:36:20
G1A023092,Aditya Wijaya,Aditya92$z,adityawijaya@gmail.com,ditunda,2023-03-12 21:50:14
G1A023093,Bayu Hernanda,Bayuhe58#z,bayuhernanda@gmail.com,aktif,2023-05-12 09:43:59
G1A023094,Rian Rizky,Rianri45$Q,rianrizky@gmail.com,ditunda,2023-07-02 23:34:38
G1A023095,Aditya Mahendra,Aditya79!Q,adityamahendra@gmail.com,aktif,2023-01-27 23:34:10
G1A023096,Rian Kirana,Rianki15!z,riankirana@gmail.com,aktif,2023-01-09 05:57:19
G1A023097,Umi Sari,Umisar40@9,umisari@gmail.com,aktif,2023-08-08 08:34:38
G1A023098,Gita Kurniawan,Gitaku99#Q,gitakurniawan@gmail.com,aktif,2023-08-25 03:57:24
G1A023099,Zara Febriyanti,Zarafe24@Q,zarafebriyanti@gmail.com,aktif,2023-01-11 07:20:24
G1A023100,Della Susanto,Dellas83$9,dellasusanto@gmail.com,diblokir,2023-03-19 08:34:03
